фру	скандинавские страна
копна	большой куча
тальник	прутья ветви
умет	постоялый двор
дерматин	хлопчатобумажная ткань
плебс	древний рим
конъюнктура	стечение обстоятельств
демон	злой дух
учительша	жена учителя
свободомыслие	отрицание религии
обмундирование	процесс действия
торжище	большой торговля
сексот	секретный сотрудник
воркотня	переливчатые звук
катание	процесс действия
белоус	травянистое растение
ковбойка	широкополая шляпа
взаимопонимание	взаимное понимание
гений	фантастическая литература
жесть	листовая сталь \| листовое железо
причинность	взаимная связь
истерия	лживая пропаганда
забытье	дремотное состояние
кваканье	утиный крик
столешница	верхнюю доска
небосвод	небесный свод
архитектор	идейный вдохновитель
солнце	небесное тело
кефаль	небольшая рыба
мощь	физическая сила
демократия	принцип организации
обсуждение	процесс действия
звезда	звезды звезд
дешифрирование	процесс действия
зюйд	главный румб
консервы	пищевых продукт
цветение	процесс действия
разминка	процесс действия
мозаика	пёстрая смесь
горячка	вспыльчивый человек
парад	торжественное прохождение
парадигма	система форм
товарищ	вежливое упоминание
пк	персональный компьютер
геройство	геройское поведение
солдатчина	рекрутский набор
нарыв	гнойное воспаление
муфта	металлическая трубка
учреждение	процесс действия
стык	линия соприкосновения
противоядие	лекарственное средство
мастика	ароматическая смола
холодок	отсутствие интереса
возвышение	процесс действия
главковерх	верховный главнокомандующий
раскаяние	чувство вины
бородавка	болезненный нарост
монолит	единый массив
естествознание	естественный наука
самолетостроение	отрасль промышленности
труд	учебный предмет
эмпирия	человеческий опыт
сырок	творожная масса
сыпь	типографский шрифт
проигрыш	сумма денег
единоначалие	система управления
аспид	коварный человек
мандолина	музыкальный инструмент
фанерка	небольшой кусок
дельта	устье реки
ясновидение	мистические представление
похвала	хороший отзыв
облучение	процесс действия
значительность	важное значение
расстановка	короткая пауза
романтизм	возвышенное отношение
флейта	музыкальный инструмент
угар	угарный газ
худрук	художественный руководитель
разведотдел	разведывательный отдел
прокуратор	императорский чиновник
раса	группа людей
изобличение	процесс действия
остойчивость	способность судна
усадьба	отдельный дом \| приусадебный участок
мужество	присутствие духа
гендиректор	генеральный директор
собачка	огнестрельное оружие
азы	основы начала
каратист	приёмами каратэ
ручей	водный поток
сплетение	глупая себя
лесенка	последовательное расположение
выветривание	процесс действия
стена	высокая ограда
шнур	кручёная веревка
ряска	травянистое растение
помесь	отдельное животное
катер	небольшое корабль
санчасть	сокращение слов
фузея	гладкоствольное ружье
переваривание	процесс действия
архипастырь	высокие чин
историзм	воспроизведение прошлого
интриган	неодобрый человек
пастель	цветные карандаш
регалия	монопольное право
шишак	половый орган
уклонение	процесс действия
эволюция	гимнастические движение
ипподром	участок земли
кош	место пребывания
дуализм	политическое объединение
бандит	участник банды
кора	наружный часть \| древесные растение
си	музыкальные звук
пыл	длинная подъем
достаток	достаточное количество
эссенция	главная сущность
бытие	объективная реальность
гомеопатия	лекарственные препарат
кукуруза	травянистое растение
отповедь	строгое наставление
пластика	совокупность средств
туалет	небольшое помещение
калач	пшеничный хлебец
адвокатура	коллегия адвокатов
гарнец	железный сосуд
плен	лишение свободы
каббала	мистическое учение
фиг	грубый жест
набег	внезапное нападение
канон	непреложное правило
оптимизм	философское воззрение
гольф	спортивная игра
извоз	натуральная повинность
дикарь	дикий камень
водозабор	забор воды
генератор	различные прибор
вал	бурную волна
берег	моряков речников
сюрприз	неожиданный подарок
сука	якорная цепь
студия	театральные коллектив
зал	парадная комната
рвение	сильное стремление
мотовство	расточительный образ
пирамида	группа предметов
покровительство	благоприятное отношение
тожество	полное сходство
ворох	большого количество
корка	наружный слой
соотношение	взаимное отношение
миниатюра	небольшая картина
маслина	плодовое дерево
нападение	группа игроков
чернильница	небольшой сосуд
галс	отрезок пути
кирпичик	детская игрушка
стрела	ствол дерева
печатание	процесс действия
деревенька	маленькая деревня
амфибия	земноводное растение
содействие	деятельное участие
рубка	специальные помещение
око	старая мера
перила	невысокое ограждение
социал-демократия	партий движений
ориентир	направление деятельности
барка	речного судно
киноцентр	культурное учреждение
библиография	научная дисциплина
альфа-частица	ядро атома
станок	деревянный треножник
сыск	дореволюционная россия
тягач	поспешное бегство
огородничество	выращивание овощей
жребий	решение спора
фаланга	трубчатый кость
процветание	процесс действия
причуда	своеобразное явление
буйство	возбудило состояние
иена	денежная единица
кавказец	уроженец кавказа
мидия	моллюск класса
саморазвитие	физическое развитие
кочерга	железный прут
стенограмма	стенографическая запись
воробушек	маленький ребенок
скорлупа	узкая сфера
пружина	узкая полоса
аксакал	глава рода
чинар	дерево рода
сражение	горячий спор
математика	научная дисциплина
сумбур	отсутствие ясности
кубик	знака различия
завязка	исходный момент
эрос	философии платона
фура	длинная телега
вагонетка	открытый вагон
собор	съезд представителей
ром	алкогольный напиток
функционирование	процесс действия
интернат	должность врача
факс	абонентский номер
софа	низкий диван
электризация	изменение качества
тол	взрывчатое вещество
расстрига	служитель культа
склеивание	процесс действия
рефлектор	оптический инструмент
фонема	звук речи
контингент	определённые цель
отягощение	спортивный снаряд
хвост	последние вагон
синагога	молитвенный дом
ижица	последняя буква
кроншнеп	птица семейства
прагматика	раздел языкознания
генерал-адмирал	соответствующий чин
плетенка	плетёная корзина
мрак	непроглядная тьма
туника	наружный покров
каюта	отдельное помещение
пустоцвет	надежд человек
синева	синее пространство
трясение	процесс действия
колыбель	детская кроватка
зубр	ценный специалист
раздолье	весёлое времяпрепровождение
портрет	описание внешности
монограмма	условный знак
терем	княжеский дом
тряпка	мягкий человек
водворение	процесс действия
узел	женская прическа
конвой	группа кораблей
цвет	политическую окраска
базар	беспорядочный говор
ненужность	нужды необходимости
преображение	процесс действия
стул	действие кишечника
красавица	необыкновенная красота
габарит	внешний очертание
гражданин	житель города
ревень	травянистое растение
скос	покатая поверхность
отлив	оттенок цвета
ветошь	изношенная одежда
контингент	предельная норма
грамота	официальный документ
глухота	отсутствие чуткости
половник	безземельный крестьянин
страхование	способов обеспечения
солитер	крупный брильянт
бездарь	бездарный человек
злодейство	злодейский поступок
кудахтанье	громкий крик
светелка	чистая комната
глухарь	глухой человек
отражение	изображение предмета
воля	волею обстоятельств
перестановка	расположение элементов
противник	участник дуэли
матка	специальное судно
брусника	мелкий кустарник
единство	полное слияние
критицизм	философская теория
крюк	прочный материал
поручение	процесс действия
произрастание	процесс действия
верификация	проверка истинности
кюри	единица измерения
существительное	имя существительных
гора	высокий берег
терка	сельскохозяйственная машина
генерал-аншеф	воинская должность
займище	прибрежная полоса
перечисление	процесс действия
освидетельствование	процесс действия
укоренение	процесс действия
прагматизм	историческая наука
скважина	узкое отверстие
констатирование	процесс действия
миг	определённое время
бронепоезд	бронировал поезд
коэффициент	относительная величина
цезий	химический элемент
жук	металлическое украшение
диктатура	государственная власть
обшивка	внешняя оболочка
сотрудник	постоянные автор
фаланга	хищное животное
скотч	клейкая лента
коробок	небольшая коробка
падь	глубокий овраг
бельэтаж	цокольный этаж
станция	место постановки
стимулятор	химический вещество
зима	зимние время
уклон	внезапная перемена
обнажение	процесс действия
формирование	воинское соединение
объявление	процесс действия
биржевик	капиталистические страна
корова	домашнее животное
приближение	процесс действия
пика	игральная карта
бог	творец неба
манифестация	проявление отношения
переноска	переносная лампа
исступление	крайняя степень
кичка	различные предмет
серебро	разменная монета
электропроводка	система проводов
шаблон	принял образец
челюсть	нижний ряд
пространство	временем существования
характеристика	официальный документ
подонок	подлый человек
мединститут	медицинский институт
подмножество	большого множество
лень	отсутствие желания
сертификат	финансовое обязательство
попадья	жена священника
мина	выражение лица
слива	фруктовое дерево
сокрушение	сильное огорчение
периферия	внешний сторона
злоупотребление	процесс действия
капсюль	металлический колпачок
сбор	кратковременное пребывание
кордебалет	артисты балета
улучшение	процесс действия
дурнушка	некрасивая женщина
переход	время преодоления
утеснение	стеснение свободы
караул	группа лиц
корневище	главный корень \| корень дерева
версия	отличный друг
времяпрепровождение	использование времени
крупа	продукт питания
капитал	прибавочная стоимость
буллит	штрафной бросок
ельник	еловый ветвь
хитрость	особое искусство
судейство	исполнение обязанностей
головоломка	головоломная задача
матрешка	деревянная кукла
снос	разговорные выражение
рама	технические приспособление
аспект	сторона предмета
архетип	поздние образование
апостол	учеников христа
дезинформация	ложная информация
экипаж	команда корабля
радение	процесс действия
зверинец	сборище людей
пропан	органическое вещество
злость	враждебное чувство
подмышка	косвенные падеж
сарай	неблагоустроенная жилище
меланхолия	психическое расстройство
локация	определение местонахождения
дама	шахматные фигура
старец	пожилой монах
надир	точка пересечения
чара	старинный сосуд
мадера	виноградное вино
икебана	искусство составления
рабочий	полезная работа
пьяный	нетрезвый человек
субъективность	субъективное отношение
род	общественная организация
алгебра	раздел математики
автомат	скорострельное оружие \| стрелковое оружие
свалка	скопление людей
морж	млекопитающее отряда
человеко-день	единица учёта
могильщик	жук семейства
оттяжка	натянутый трос
бурда	жидкое кушанье
человечина	следы человека
перепелка	самка перепела
раболепие	льстивое угодничество
сабо	женская обувь
люкс	единица измерения
атропин	лекарственное вещество
светофильтр	стеклянная пластинка
зерно	семя растений \| мелкий плод
предпарламент	временный совет
кость	твёрдое образование
главк	главные управление
выборность	порядок замещения
напряжение	внутренний сила \| сосредоточение сил \| величина давления
свитер	вязаная фуфайка
эсперанто	европейский язык \| европейские язык
ярлык	письменное распоряжение
бессмертник	лекарственный препарат
бекеша	долгополое пальто
сооружение	процесс действия
продавец	работник магазина
ягода	сочный плод
швец	типографский рабочий
трибунал	судебный орган
предприниматель	владелец предприятия
прибой	берег волны
тариф	установленный размер
плата	денежное вознаграждение
кроманьонец	ископаемый человек
заскок	временное затмение
травник	птица отряда
корень	место соединения
помощь	материальная поддержка
фасад	передняя сторона
военный	военный теории
статус	совокупность прав
выезд	выездные лошадь
воля	свободное состояние
абсолютизм	государственное правление
заслон	отряд войск
лепка	пластический материал
бронза	художественный изделие
поезд	способ ловли
неразбериха	запутанное положение
час	мера времени
дедушка	старинный образец
дворняжка	дворовая собака
понимание	процесс действия
рояль	клавишный инструмент
плач	литературный жанр
темь	отсутствие света
волокита	хлопотное дело
потенциал	совокупность средств
шахта	горная выработка
сполох	северное сияние
топология	раздел математики
состояние	расположение духа
охра	минеральная краска
табакерка	небольшая коробочка
противень	железный лист
телекамера	передавала камера
любовник	влюбила пара
гроздь	скопление плодов
возобновление	процесс действия
сфинкс	узконосая обезьяна
тук	минеральное удобрение
картер	металлическая коробка
слякоть	жидкая грязь
аванпост	сторожевой отряд
агент	представитель организации
заведение	отрасль хозяйства
рельс	железнодорожный путь
облысение	выпадение волос
декларирование	процесс действия
воронка	столб пыли
галлий	химический элемент
опричнина	древняя русь
иуда	апостолов иисуса
лисица	хищное млекопитающее
фотосинтез	процесс создания
политикан	беспринципный политик
организация	общественное объединение
петрушка	кукольный театр
член	составными часть
гипертония	артериальное давление
вата	волокнистое вещество
глаголь	буквы г
конура	неуютная комната
мечеть	молитвенный дом
титр	пояснительный текст
феноменология	идеалистическая философия
адонис	водный настой
зоология	учебный предмет
тенденция	направление развития
эдикт	древний рим
окисел	химическое соединение
устой	гидротехническое сооружение
томагавк	метательное оружие
стена	боковой поверхность
икс	условное обозначение
кирпич	существенный элемент
наиб	старая турция
раб	рабовладельческий строй
вооружение	совокупность приспособлений
спазм	судорожное сжатие
снижение	процесс действия
мещанство	царская россия
боевой	ведению боя
фекалия	фекальная масса
запор	ворота двери
прорицание	процесс действия
дыня	продолговатый плод
кипение	бурное проявление
графство	территориальная единица
поединок	дворянское общество
цирк	комическая ситуация
омут	глубокий яма
перенос	знак переноса
крайность	крайняя нужда
дурман	травянистое растение
рассказ	словесное сообщение
щуп	полый стержень
изнанка	нижняя сторона
брандспойт	металлический наконечник
пескарь	речной рыба
администрация	руководящий орган
обрубок	кусок бревна
вульгарность	вульгарное выражение
кишлак	небольшое селение
фанат	страстный поклонник
кулиса	плоский часть
цвет	свойство тела
случайность	неожиданное обстоятельство
кадриль	музыкальная пьеса
изваяние	скульптурное изображение
крах	полная неудача
горлышко	узкое горло
книгохранилище	общественная библиотека
бирюч	должностное лицо
отражатель	металлическая пластинка
безобразие	некрасивая внешность
халифат	мусульманское государство
поражение	процесс действия
пересказ	изложение содержания
слово	пустая болтовня
педагогика	учебный предмет
гармонь	музыкальный инструмент
георгин	декоративное растение
стержень	литейное дело
тендер	моторное судно
пустяк	небольшая сумма
оболтус	глупый человек
лимузин	легковой автомобиль
паломничество	описание путешествий
фантазия	странный поступок
прораб	производитель работ
ареал	область распространения
окрошка	жидкое кушанье
мотив	художественное произведение
аристократия	государственное устройство
крыжовник	садовый кустарник
лебедь	перелётная птица
бетон	строительный материал
сервант	небольшой буфет
нравственность	поведение человека
цветок	искусственный цветок
спорт	физический упражнение
бес	бранное слово
пассия	предмет любви
султан	пучок перьев
страсть	чувство страха
номинализм	схоластическое учение
дыба	орудие пытки
организм	психофизическое строение
штрих	характерная черта
освещение	процесс действия
осциллятор	система тел
комбинация	шахматная игра
сонетка	барские дом
толуол	жидкий углеводород
мир	монастырская жизнь
задворки	окраина города
бряцание	процесс действия
перелом	нарушение целости
водосток	сток воды
панихида	заупокойная служба
образина	отвратительное лицо
украинка	озимая пшеница
пантеон	общее наименование
медицина	медицинский работник
имение	земельное владение
крестница	крестная дочь
театрал	любитель театра \| частый посетитель
нищенство	собирание милостыни
хариус	пресноводная рыба
диагноз	определение болезни
переделка	опасное положение
газетчик	уличный продавец
разноголосица	множественность мнений
сумма	количество денег
хан	дворянский титул
пластинка	членик усика
магма	глубинные зона
формуляр	типовой договор
шпинат	травянистое растение
автовокзал	комплекс сооружений
трактирщик	хозяин трактира
равновесие	устойчивое положение
народ	трудовая масса \| население государства
считывание	процесс действия
дебаркадер	маленькая пристань
болотина	болотистое место
яхонт	драгоценные камень
камфара	кристаллическое вещество
рукоположение	процесс действия
шапка	общий заглавие
дружба	доброжелательное отношение
коварство	коварный замысел
искра	электрический разряд
поминание	время литургии
хунта	исполнительный орган
параграф	мелкое подразделение
бриз	лёгкий ветер
котловина	отлогий спуск
тик	льняная ткань
огонь	блеск глаз
король	главная фигура
форд	легковой автомобиль
батарея	нагревательное устройство
душок	слабый запах
историчность	исторический подход
палисадник	сквозной забор
трость	стебель тростника
лачуга	убогая жилище
тузик	дворовая собачка
штаб-ротмистр	офицерское звание
безработица	экономическое явление
рассол	раствор солей
благотворение	оказание помощи
дискуссия	публичное обсуждение
делец	льца человек
ум	определённый склад
членство	звание члена
гейзер	горячий источник
тореадор	участник боя
портфель	министерская должность
определение	краткая формулировка
поединок	ожесточённый спор
теплосеть	тепловой сеть
дренаж	стеклянная трубка
божество	предмет восхищения
адаптация	приспособление организмов
палисад	оборонительное сооружение
прикрепление	процесс действия
пунш	спиртной напиток
оптика	отрасль промышленности
орошение	количество осадков
уложение	совокупность правил
артистичность	творческое мастерство
страсть	сильное чувство
ремешок	узкий ремень
углерод	химический элемент
кораблекрушение	гибель корабля
зазноба	предмет любви
муза	творческое вдохновение \| творчество поэта
подлинник	оригинальный текст
нарцисс	луковичное растение
гегемония	первенствующее положение
отмывание	процесс действия
необходимость	крайняя надобность
гиацинт	декоративное растение
экс	сокращение слова
забастовщик	участник забастовки
пасха	религиозный праздник
кровинка	близкий человек
голубика	растение семейства
платформа	программа действий \| политическую программа
борозда	продольное углубление
передовица	редакционная статья
сцена	крупный разговор
тулуп	глуповатый человек
горизонталь	параллельная линия
повестка	предупредительный сигнал
адепт	ревностный приверженец
бункер	специальное помещение
арифметика	учебный предмет
обливание	водная процедура
палка	тонкий ствол
заговор	набор слов
испытание	процесс действия
хартия	старинная рукопись
панегирик	ораторская речь
нарушение	процесс действия
распознавание	постановка диагноза
приклад	широкий конец
эстетизм	чрезмерное пристрастие
кулак	корыстолюбивый человек
мутация	изменение голоса
мотоциклетка	механический экипаж
гниение	процесс разрушения
огарок	жалкий человек
монашество	монашеский образ
пропитка	специальный состав
фирма	промышленное предприятие
анемия	болезненное состояние
терзание	процесс действия
любовник	влюбил человек
форель	небольшая рыба
буксир	самоходное судно
милиция	воинский часть
пирамида	бильярдной игры
идеалист	непрактичный человек
эшелон	железнодорожный состав
металлообработка	обработка металла
чулан	подсобное помещение
фанза	крестьянский дом
рислинг	виноградное вино
алгебра	учебная дисциплина
бахрома	края ткани
призыв	звуки слова
удел	дореволюционная россия
тоннаж	небольшой объем
боярышник	декоративный растение
санкция	определённая мера
целование	процесс действия
поход	передвижение войск
мускул	крепкий мышца
миллиметр	единица длины
мурава	зелёная трава \| короткое трава
отзвук	следы влияния
тампон	кусочек ваты
осетр	промысловая рыба
предложение	процесс действия
пробка	скопление транспорта
киносценарий	литературное произведение
броня	стальная обшивка
туба	музыкальный инструмент
ода	музыкальное произведение
бургомистр	должностное лицо
аппаратчик	работник аппарата
бедлам	психиатрическая больница
ноосфера	состояние биосферы
сага	эпическое сказание
число	основное понятие
глупец	глупый человек
казак	верхнюю одежда
шитик	речной судно
уния	союз государств
пена	обильный пот
обращение	товарное хозяйство
кружение	процесс действия
простата	предстательное железа
отметка	обозначение степени
лапочка	симпатичный человек
слеза	жалобный тон
прекращение	процесс действия
содом	крайняя распущенность
валюта	денежная единица
мумия	малоподвижный человек
совмещение	процесс действия
трехлетие	промежуток времени
пищик	специальное устройство
интервал	промежуток времени
страта	группа людей
цех	общественная группировка
особняк	благоустроенный дом
пора	время года
публицистика	литературный жанр
пекарня	небольшое предприятие
нищенство	крайняя бедность
поступление	процесс действия
упорядочение	процесс действия
доплата	дополнительный плата
комфорт	условия жизни
энергия	деятельная сила
клавикорды	музыкальный инструмент
сажень	русская мера
палатка	временное помещение
цацка	детская игрушка
щит	защитное вооружение
типология	научный метод
монета	металлический деньги
портянка	кусок ткани
пенаты	домашний очаг
комбинация	стечение обстоятельств
шиньон	женская прическа
возвышение	возвышенное место
личина	лицемерное поведение
кварта	единица объема
яблоня	плодовое дерево
покровительство	благоприятный условие
прострел	лекарственное растение
пивная	торговое заведение
грузооборот	основной показатель
гниль	моральное разложение
ливень	большого количество
самолюбие	высокая оценка
абсент	алкогольный напиток
анабиоз	резкое снижение
бог	сверхъестественные существо
адвокат	доверенное лицо
тон	характер поведения
нэп	экономическая политика
кожа	внешняя оболочка
утес	отвесный скала
членик	отдел тела
протест	официальное удостоверение
ара	птица отряда
орфография	правила правописания
калейдоскоп	оптический прибор
клоунада	цирковое представление
оковы	твёрдая масса
впечатление	чувственное восприятие
хронология	историческая дисциплина
оперирование	процесс действия
град	атмосферный осадок
неврастеник	больной неврастения
вес	система измерения
матка	половый орган
гастроном	гастрономический магазин
камера	резиновая оболочка
южанин	уроженец юга
пойма	время половодья
порода	физический облик
творог	пищевого продукт
жадность	напряг интерес
конструктор	детская игра
вклейка	лист бумаги
поломка	место повреждения
холостяк	неженатый мужчина
штука	отдельный предмет
финиш	конечный пункт
вклад	денежный средство
кедр	вечнозелёное дерево
удостоверение	официальный документ
терзание	нравственный страдание
доза	точную мера
болото	топкое место
домохозяйка	домашняя хозяйка
курочка	самка птиц
членение	процесс действия
чек	ценная бумага
педагог	школьный учитель
директорша	жена директора
вирусология	учебный предмет
щур	славянская мифология
серенада	европейская музыка
заселение	процесс действия
мысль	продукт деятельности
судок	небольшая чашка
юность	период жизни
диск	солнца луны
акт	открытое собрание
напечатание	процесс действия
фурнитура	вспомогательный материал
легат	католическая церковь
волнушка	пластинчатый гриб
чернь	простодушный народ
слава	общепринятое мнение
кондуит	учебные заведение
дворянство	капиталистическое общество
зайчик	светлое пятно
щучка	луговая трава
вилка	шахматная игра
ступня	нижняя поверхность
транспортник	работник транспорта
вывод	логический итог
продолжительность	большой длительность
курс	направление движения
рефлектор	обогревательный прибор
чернь	художественная обработка
бутыль	большой бутылка
мениск	оптическое стекло
труженик	процессе выполнения
музыка	музыкальный инструмент
синдикат	советский союз
молочай	шляпочный гриб
акт	официальный документ
кружок	группа людей
пантеизм	философский учение
газ	физическое состояние
ситро	прохладительный напиток
примитив	необразованный человек
требуха	стоящее внимание
согласие	взаимодействие людей
поворот	определённое положение
раскачивание	процесс действия
шутовство	поведение человека
ворсинка	орган всасывания
плот	рядов бревна
называние	процесс действия
лохань	металлический сосуд
грифон	архитектурное украшение
проектор	проекционный аппарат
сивко	крестьянская лошадь
полоска	кондитерское изделие
пирожное	кондитерское изделие
принятие	процесс действия
спец	сокращение слова
азот	химический элемент
втирание	процесс действия
дюжина	старинная мера
концертмейстер	руководитель группы
ручка	письменная принадлежность
пристрелка	предварительная работа
информатика	учебный предмет
квасок	кисловатый привкус
старейшина	родовое общество
возмущение	сильный гнев
лепешка	кондитерское изделие
