соприкосновение	воздействие
караул	экзерциция
радиопередача	передача
имя	
сад	оранжерея
пшеничка	рожь
галл	египтянин
подголосок	тембр
компакт-диск	диск
фараон	египтянин
метель	непогода
черпак	кадка
тленность	одухотворение
смарагд	паникадило
осколок	кусок
приумножение	поддержание
конденсация	
грузчик	рабочий
равноправие	раздельность
мажор	тональность
балансирование	утончение
ниссан	автомобиль
атмосфера	обстановка
движение	перемещение
пасмурность	отлогость
склейка	склеивание
рвань	тряпье
казачок	дворня
самокритика	самораскрытие
универсальность	
сеялка	высев
сван	
скатерка	матрасик
безнадега	бесцельность
кисточка	пульверизатор
управа	
аргонавт	
манекенщица	девушка
лесопользование	
лодырь	люмпен
солод	зерно
родня	сродник
свойство	вещество
богоносец	избранничество
уплата	декларирование
занудство	отстраненность
преобладание	разнородность
сливки	молоко
нужник	туалет
смерд	люд
зондирование	
водопроводчик	сварщик
фаг	бактерия
духовник	пастырство
вино	фрукт
церковность	жизнепонимание
взлом	сокрытие
шлюп	корабль
донна	камеристка
затейник	песельник
пара	пар
расплывчатость	хаотичность
совещание	обсуждение
андеграунд	
облом	нелепица
алгебра	геометрия
билль	законоположение
типичность	опосредование
юань	
колчак	главковерх
метла	тряпка
морошка	коренья
недоговоренность	отстраненность
придурок	жулье
подпрограмма	подсистема
закуток	закоулок
хор	песнопение
тычок	поглаживание
увлечение	любование
застенчивость	неумеренность
лучина	свеча
левин	
прислуга	обслуга
скверик	забор
сорт	гибрид
добродетель	богопочитание
перелет	перевозка
опасение	стремление
шелом	доспехи
свиданьице	учительша
творожок	копченость
загривок	плечо
роза	букет
кочка	коряга
наряд	одежда
бактерия	организм
сковорода	кадка
фантастика	жанр
наркоторговец	преступник
заплот	подклеть
шеврон	униформа
геноцид	преступление
скирда	солома
лов	убой
добытчик	добывание
инфляция	оборачиваемость
брехня	лганье
эстамп	рисунок
фокус	равнодействующая
червоточина	пустота
лязг	позвякивание
кораблекрушение	катаклизм
лет	
народонаселение	неустройство
малец	мужик
телефония	
клитор	стимуляция
могильник	захоронение
утопист	
четверть	треть
пустячок	безделка
иллюзия	восприятие
авеню	улица
столешница	панель
связь	взаимосвязь
детерминант	
бухточка	урема
пиранья	рыба
леспромхоз	заготовитель
почитательница	обожатель
дурдом	помойка
баллон	навеска
камушек	камень
странность	своеобразность
гол	
крокодил	рыба
плакатик	картонка
наган	планшетка
пальба	суетня
усилие	равнодействующая
рыбалка	развлечение
боа	накидка
хворост	дрова
старичок	человечек
процедура	манипуляция
согласный	гласный
транзакция	
неумелость	своекорыстие
вымя	жилочка
доказательство	
налог	перерасчет
бездельник	ротозей
прошлое	переживание
поцелуй	прикосновение
враки	
нейтральность	
материализм	теоретизирование
тщательность	детализация
обмылок	тряпка
мордашка	личико
диктант	заучивание
капитель	орнамент
ваяние	скульптура
битва	схватка
дольщик	неплательщик
донорство	
антиквариат	мебель
кров	пища
телекоммуникация	коммуникация
решето	куча
сквознячок	шевеление
аристократизм	своеобразность
сталь	металл
извинение	объяснение
коронация	принесение
водонос	маркитант
звук	артикуляция
телеграфист	писец
голубика	ягода
настороженность	сосредоточенность
шпана	люд
гуляш	блюдо
достояние	ценность
отара	скот
чекушка	бутылка
старшеклассник	ребенок
убогость	своеобразность
фискал	
необратимость	
судоверфь	
щебень	вскрыша
измор	ретирада
информативность	сопоставимость
стропа	ленчик
духовность	одухотворение
лизат	
шипик	бороздка
передряга	неустроенность
платформа	
истребление	пожирание
калий	нитрит
решительность	выдержанность
дефект	
покупатель	товар
зис	автомобиль
истечение	
тютелька	
теология	
переправа	погрузка
докторша	старушонка
окошечко	окно
изобретение	приспособление
посвящение	ритуал
мечтание	неумеренность
самозащита	оружие
компоновка	конфигурация
пыльник	соцветие
милорд	
оймякон	
вакханка	пастушка
розвальни	повозка
температура	освещенность
сивуха	отрава
субъект	опосредование
доцент	кафедра
единственность	осмысленность
летчик	
въезд	проход
аудиенция	благоусмотрение
непричастность	
наконечник	пластина
помешательство	неумеренность
октава	тембр
усищи	малахай
жизнь	жизнепонимание
путевка	разнарядка
диарея	
выключатель	светильник
припоминание	соотнесенность
дворецкий	опочивальня
роллер	велосипед
кабинетик	шкафчик
покойничек	силушка
не-я	познавание
жилье	жилище
житие	подвижник
времечко	погодка
электросила	
посетительница	посетитель
разрыв	утончение
шкала	измерение
крюк	стояк
приостановление	
смыв	засорение
оптика	геометрия
дежурка	подсобка
декламация	заучивание
прилагательное	сказуемое
кучка	груда
монумент	изваяние
абсурд	погруженность
мышка	сумка
суждение	осмысливание
любомудрие	богопочитание
литовка	финка
кумпол	кулачище
пепиньерка	питомица
кассета	видеокамера
душегубство	игралище
сюжет	событие
большевизм	
штуцер	навеска
хрыч	бесстыдница
завязка	перипетия
каторжанин	истязание
келейник	служка
минирование	
кобура	планшетка
роженица	мочеиспускание
девочка	ребенок
зарабатывание	
тип	конструкция
новолуние	менструация
дружба	взаимоотношение
сплетник	лганье
треск	шум
дихотомия	символизация
предостережение	указание
фосфорит	ископаемое
дуализм	одухотворение
парамеция	
многотиражка	статейка
исполнитель	
сжатость	законченность
конка	рельс
гранит	камень
наводнение	катаклизм
счетчик	датчик
подставка	ящичек
бутик	витрина
засуха	катаклизм
суспензия	жидкость
мешок	ящичек
татарин	инородец
позволение	благоусмотрение
стенограф	писец
лжеучение	жизнепонимание
импотент	невротик
гипотенуза	кривая
индеец	ацтек
мэтр	ценитель
птенчик	червячок
рельс	скрепление
рескрипт	засвидетельствование
док	пакгауз
благоприятствование	
беспочвенность	зыбкость
коренник	лошадь
подавальщица	брюнеточка
разъединение	равнодействующая
закономерность	явление
митра	облачение
диспетчер	электрохозяйство
гномик	человечек
нюх	запах
склонность	характер
байдара	урема
непослушание	поступок
уставщик	послушание
шкап	ящичек
гербицид	химикат
гипотеза	допущение
козочка	баран
барка	настилка
всеоружие	сущность
ассигнация	начет
водопой	скот
бредни	простосердечие
стекляшка	стеклышко
прибыльность	
философия	педагогия
кретинизм	предрасположение
абсент	напиток
сличение	осмысливание
кучер	лошадь
посольство	миссия
иллюстрация	изображение
гимнастерка	обмундирование
светофор	сигнал
театрик	лачужка
буржуазность	церковность
трактир	сходбище
квадрига	изваяние
капелла	витраж
кина	жмот
чурка	штабель
ранение	повреждение
шоссе	дорога
мундирчик	мундир
коломбина	
подача	смешивание
кесарь	венценосец
листва	дерево
вылазка	бесчинство
антиномия	противоположение
жаргон	терминология
зодиак	пентаграмма
поисковик	пользователь
императив	опосредование
катет	прямоугольник
удобность	удобство
сознание	восприятие
садовник	оранжерея
потенция	опосредование
фальсификатор	фабрикация
шлифовка	обработка
ангидрид	изобутилен
юла	ящерка
веселость	непринужденность
балерина	артист
воспрещение	ограничение
патриотка	труженица
фотопленка	фотоматериал
окрик	ржание
видео	контент
бемоль	тональность
удовольствие	удовлетворение
глазница	отверстие
панты	сырье
приседание	подергивание
упразднение	преобразование
складывание	скрепа
переводчица	переводчик
маркер	индикатор
пастушонок	мужик
лапша	блюдо
цитология	психофизиология
автомашина	повозка
обольститель	сластолюбие
калина	ель
санчасть	тыловик
капля	частичка
угрызение	неумеренность
манифест	обнародование
болеро	
растениеводство	возделывание
гувернантка	пепиньерка
рубанок	станок
девственник	девство
скамеечка	стул
спекание	затвердевание
окопчик	ложемент
агломерация	
снеток	солонина
лиф	платье
редукция	
икра	рыба
одинаковость	соотнесенность
интерьер	мебель
конфискация	имущество
крупица	частичка
браунинг	оружие
книгохранилище	экспонат
дрожки	повозка
технарь	хозяйственник
монархизм	идеология
замазка	пульверизатор
хорей	строка
намаз	вкушение
плинтус	утеплитель
валет	колода
злоключение	тягота
дружка	друг
филон	суевер
белица	келейка
окупаемость	затрата
жених	девушка
завуч	учитель
рационализатор	работник
вялость	инертность
саван	пелена
градус	температура
транквилизатор	лекарство
вознаграждение	перерасчет
праздничек	учительша
полемика	разноречие
варежка	перчатка
разоблачитель	
света	свет
ущемление	
утонченность	законченность
хлебозавод	цех
варка	приготовление
гуашь	краска
телеграф	посредство
авиатехник	
сифилис	заболевание
гороскоп	примета
обходчик	пакгауз
слип	штабелер
пуговичка	плечики
острота	своеобразность
могущество	ослабление
современность	реалия
лужа	ошметок
поправление	неустройство
гурман	вкус
бурш	петиметр
гран	грамм
жизнедеятельность	функционирование
дробинка	ячея
литературоведение	эстетика
мотор	привод
бечевка	ячея
гита	
обрыв	отлогость
мякина	опилки
девка	мужик
безверие	индифферентизм
бензопила	робот
благовествование	радование
пульт	прибор
учком	
судок	кушанье
окурок	мусор
неряшество	мелкость
любование	выдержанность
ресторация	сходбище
батискаф	погружение
авантюра	дрязги
снабженец	контролер
пробка	укупорка
плита	настилка
флора	ландшафт
квасок	пойло
дранка	настилка
бассейн	водосбор
таблица	гистограмма
ошеломление	опустошенность
доработка	изменение
мартини	напиток
пароходство	предприятие
фактория	туземец
пушок	складочка
шутка	забава
паучок	зверек
завком	электрохозяйство
ключарь	потир
пролитие	неумеренность
стрельба	прицеливание
гэбэшник	кагэбэшник
читательница	автовладелец
ять	буква
доля	концентрация
развратница	суевер
шея	туловище
тетеря	дурачье
антресоли	шкапчик
миноискатель	прибор
киса	девонька
ловля	промысел
пехота	бронетехника
небылица	простосердечие
таксация	дешифрирование
фистула	посвистывание
ватник	тряпье
просчет	недостаток
могилка	гроб
букетик	букет
дармоед	лакейство
ложа	книгохранилище
обливание	вкушение
диктатура	
боксит	ископаемое
близнец	
кавалергард	камер-паж
водоток	нерестилище
порез	поранение
верша	ячея
вшивость	самоотравление
патриаршество	
работорговец	раб
мельтешение	суетня
сигнатура	
магма	затвердевание
нигилизм	индифферентизм
энтомология	
нефтедобыча	отрасль
кокотка	жеманство
голгофа	распятие
марксизм	идеология
нарды	кегли
поденщина	приварок
порабощение	
эскиз	рисунок
валик	пластина
сигарка	скляночка
найденыш	звереныш
мобильник	приборчик
улочка	закоулок
буйволица	животина
метрология	
собеседница	собеседник
щепка	тряпка
прохиндей	жулье
одноклассник	друг
графика	график
пфенниг	монета
свиток	кипа
провозвестник	одухотворение
плечо	спина
голыш	камешек
правота	правильность
сенник	матрасик
рассрочка	движимость
диадема	одеяние
кимоно	платье
убой	пожирание
старожил	азиатец
смертоубийство	непотребство
взрывание	навеска
странствие	треволнение
дефицит	потребность
чинопочитание	своекорыстие
заказчик	водопользователь
сарай	кладовая
швабра	пульверизатор
виолончелист	педагог
прилет	полет
мученица	инокиня
услаждение	неумеренность
гармошка	гармоника
козлы	лошадь
кодак	пленка
шрифт	начертание
гепатит	заболевание
боровик	гриб
щерба	
воин	ратник
недоумок	недоносок
тракт	артерия
непочтение	непотребство
милостивец	лиходей
взрыв	разрушение
смазка	парафин
лавсан	поролон
куст	дерево
каин	
супостат	одоление
вандал	варвар
ястреб	птица
маманя	дурища
рейка	ползун
самоопределение	
тяжущийся	
укорочение	уменьшение
закройщица	обойщик
ступка	посуда
опека	забота
налогоплательщик	водопользователь
ингуш	
однодневка	пустячок
прирост	возрастание
сбрасывание	
кавалерист	генштабист
жираф	верблюд
немота	зыбкость
центнер	зерно
угорь	рыба
птенец	птица
кагал	сословие
гнус	зверье
обиход	утварь
салоп	платье
отечество	благотворение
ворвань	мясо
соотнесение	
картинг	
дистанция	
досмотр	истребование
пасынок	родственник
зал	помещение
панславизм	
правонарушитель	
фазис	равнодействующая
богдыхан	венценосец
сундук	тайник
обезвреживание	
конструктивизм	эстетика
полушепот	шепот
презерватив	обувь
печурка	спиртовка
спорткомплекс	комплекс
рабство	равноправность
часовенка	субурган
волчиха	горушка
лапта	забава
северо-восток	
пожирание	существо
русалочка	сказка
трезвон	суетня
лягушка	птица
однородность	свойство
страстность	выдержанность
вольт	напряжение
пес	зверь
дензнак	валюта
боязнь	неумеренность
нарцисс	букет
серпуха	
сервитут	отграничение
предисловие	предуведомление
беккерель	
прибалт	азиатец
мюзик-холл	
залп	снаряд
расходомер	газоанализатор
пропаганда	
фотосинтез	растение
арьергард	обоз
форд	автомобиль
масленица	празднество
действие	воздействие
аскеза	одухотворение
выезд	вывоз
лафит	вино
одежда	аксессуар
рассада	семя
октябренок	школьник
томность	бесцветность
муть	полумрак
наживка	нерестилище
сервировка	приготовление
гедонизм	теоретизирование
блокада	
скрещивание	порода
камень	дерево
шкет	жмот
необеспеченность	
ужин	еда
преображение	познавание
як	баран
неумеренность	своекорыстие
аспект	особенность
латка	плечики
ласковость	бережность
телевидение	
цепочка	цепь
непримиримость	выдержанность
фотоальбом	картинка
разгильдяйство	своекорыстие
мурава	зелень
чепрак	сбруя
мелодрама	драма
клерикал	своекорыстие
микрорайон	
сверхдержава	
корзина	контейнер
неискренность	неразумность
разумение	жизнепонимание
кружечка	чашка
дама	особа
лещина	самшит
набат	звон
шутиха	невидаль
сноп	зерно
пассажир	груз
натяжение	вытягивание
стимул	
должность	назначение
плутовка	брюнеточка
увеселение	зрелище
ток	напряжение
язвительность	простосердечие
совет	комиссия
собутыльник	выпивка
хоровод	кружение
долгота	счисление
акциз	квотирование
неотразимость	своеобразность
мор	бедствие
стрелец	ратник
полусвет	мерцание
хохолок	крапина
кинозал	помещение
журналистика	
перебранка	суетня
гиперболоид	корпускула
вампир	магия
ларчик	ящичек
пампасы	полупустыня
шелуха	хлам
певчий	пение
брод	тропинка
фотокопия	сличение
содержимое	контейнер
круп	крупа
донос	злоумышление
кальян	сласти
глазков	крапина
блеяние	ржание
мощение	покрытие
подлещик	рыбешка
чувствительность	интенсивность
телепатия	психизм
институция	
раствор	жидкость
нетерпеливость	неумеренность
поморье	
надрыв	опустошенность
удавка	веревка
лещ	рыба
заслон	преграда
чертовка	змееныш
реквизиция	регламентация
стройплощадка	площадка
гульбище	увеселение
медпункт	кафетерий
овчина	мех
нормальность	опосредование
тазик	ленчик
гадание	вызывание
люминофор	электролюминесценция
повседневность	погруженность
червячок	червь
братушка	сволота
аффект	опосредование
посул	даяние
землепашец	поселянин
крак	жердина
долженствование	соотнесенность
деноминация	конфессия
прогресс	одухотворение
незнакомец	девушка
звон	звук
распадение	утончение
нытье	лганье
топография	строение
фен	пульверизатор
первобытность	одухотворение
киоск	лоток
стратификация	сопоставимость
проходимость	приспособленность
хижина	жилище
пипа	свистулька
блик	сверкание
калория	пища
друга	друг
сцепление	
метеостанция	наблюдение
провал	последствие
захват	перемещение
дека	подставка
пленэр	пейзаж
симпатия	стремление
порядочек	полюбовник
оскорбитель	непотребство
посыл	настроенность
инструментарий	инструмент
душегубец	погань
пинкертон	
атлетика	метание
уточка	горошинка
нрав	своеобразность
тумбочка	ящичек
ограждение	подпорка
переоборудование	
пластина	стержень
благорасположение	внимательность
тенденциозность	
ростепель	слякоть
приготовление	ингредиент
машинка	машина
окунь	рыба
гамма	спектр
живучесть	защищенность
нота	тембр
арестант	преступник
амортизация	затрата
индивидуалист	морализм
целлофан	эбонит
оранжерея	помещение
круговерть	дрязги
кур	курица
талон	грузобагаж
милок	сударик
престол	монарх
рыболовство	промысел
переписчик	сличение
подлинник	сличение
противление	изживание
сравнение	целое
бездарность	своекорыстие
селен	нитрат
паутина	нить
капиталист	сверхприбыль
саморазрушение	
депортация	
местечко	селение
окоем	голубизна
противопоказание	препарат
избенка	закут
свиноматка	скот
порода	минерал
богадельня	призрение
ключик	ящичек
утилитаризм	жизнепонимание
гад	зверье
денди	экзотика
разночтение	несоответствие
сень	седалище
гонорар	плата
отцовство	недействительность
конторка	ящичек
зонирование	отграничение
полнолуние	менструация
шепоток	посвистывание
кушанье	пища
единоборство	
сосулька	катышек
мошенничество	злоупотребление
ажур	плечики
правоверие	богопочитание
провизия	пища
умысел	побуждение
обвинение	преступление
самоистязание	самораскрытие
довольствие	необеспеченность
кинокомедия	драма
гик	ржание
зарез	
воротца	закут
оруженосец	прислужник
крашение	высушивание
волосок	ворсинка
груша	фрукт
пострижение	
ассортимент	аксессуар
хулитель	посмеяние
троглодит	обитатель
всесилие	
пристойность	благообразие
скудность	разнородность
ферт	недоуздок
соборность	жизнепонимание
туземец	азиатец
догадливость	бережность
прореха	изъян
закал	предрассуждение
синяк	складочка
телок	животина
вооружение	оружие
бонитет	страта
поручень	подголовник
изюминка	украшение
палеолит	
драп	тесьма
ускорение	перемещение
резчик	поделка
карамель	сахар
нагромождение	мелкость
полупальто	куртка
парафраз	
колесо	сцепление
бук	дерево
трансферт	перерасчет
буряк	
псалмопевец	богочеловек
сплин	хандра
слякоть	ошметок
наркомафия	
отливка	изготовление
социализация	
шарада	придумка
устроение	устройство
сообщение	сведение
сочинитель	пиит
подпоручик	камер-паж
дачник	ночлежник
молокосос	остолоп
домоуправление	квартиросъемщик
извращение	
катаракта	
шаманизм	верование
умирание	познавание
бессмертник	молочай
седок	лошадь
морепродукт	фрукт
видоизменение	утончение
помещик	поселянин
реноме	привлекательность
ягодица	конечность
ошейник	собака
отцеубийство	преступление
факир	жрец
полвека	
осень	теплынь
перевязка	прикладывание
престиж	представительность
рассказчик	персонаж
предписание	соблюдение
надсмотрщик	приставник
цельность	целостность
гибель	повреждение
бесенок	мучительница
касание	соприкосновение
нормирование	
коммунистка	труженица
массажистка	
урбанизация	изживание
военком	
плюш	сукно
кассирша	киоск
водевиль	сценка
одурение	пресыщение
бревнышко	настилка
бешенство	злобность
почва	подпочва
протяженность	
несессер	ящичек
нелегал	преступник
служительница	служитель
двуколка	повозка
пломбир	пойло
утеснение	неустройство
крупинка	частичка
кашель	покалывание
марсельеза	фанфара
сыпь	припухлость
статут	узаконение
костюмчик	покрой
жарища	духота
алюминий	металл
шезлонг	матрац
кровоподтек	припухлость
мезонин	комната
триумф	сакрализация
фасция	плевра
эпопея	перипетия
коктейль	ингредиент
замещение	
пояснение	корректива
химиотерапия	препарат
обмотка	электрод
куплетист	артист
чебурашка	светлячок
крошево	ошметок
рассуждение	соображение
иудей	прозелит
шитье	рукоделие
существо	сущность
расслоение	
артрит	заболевание
измеритель	прибор
пядь	жилочка
торжество	праздничность
обжиг	высушивание
амбра	пряность
выкрик	ржание
злость	злобность
праотец	обетование
кагэбэшник	жулье
различие	особенность
одночасье	
инструктор	отдел
волк	зверье
светлица	комната
наречие	лексика
трепак	взвизг
каретник	подклеть
пагуба	предрассуждение
биолог	исследователь
оконница	подклеть
мул	скот
космополит	паразит
излучина	долинка
фас	стена
стремнина	отлогость
укладка	укупорка
писание	вопрошание
помолвка	супружество
гулянка	сходбище
кушетка	коврик
детушки	дитятко
дупло	дерево
перископ	бинокль
бешмет	плащ
домовладелец	съемщик
подарок	украшение
дебри	извив
вице-директор	чиновник
организм	психика
рефлектор	прибор
сброс	
забастовка	беспорядок
поступок	поведение
коза	скот
диссидентство	
балагур	прибаутка
опасность	неудобство
нечет	тать
кошевой	
куча	мусор
новь	вестник
панк	
выпрямитель	преобразователь
брусчатка	плитка
трость	подставка
помазок	плечики
тригонометрия	геометрия
цк	
лава	застывание
униформист	вольера
виноделие	коноплеводство
научение	усвоение
обложка	картинка
иподиакон	священнослужитель
патриот	радетель
загвоздка	закавыка
клиент	потребитель
неприличие	неумеренность
союз	организация
сущность	существо
валокордин	настой
инструментовка	разучивание
чересполосица	отграничение
плебей	
эманация	сущность
аттитюд	опосредование
кот	зверь
кругляк	ячея
получеловек	существо
вассал	
увоз	изъятие
нолик	шарик
сретение	величание
мера	равнодействующая
хребет	возвышенность
окраина	окрестность
хранительница	мерило
святейшество	коленопреклонение
жест	телодвижение
хром	железо
террор	насилие
транзистор	электрод
свечечка	свеча
горчичник	лекарство
судовладелец	грузоотправитель
алиби	доказательство
глина	черепок
нехватка	потребность
фураж	медикамент
бесстыдница	лахудра
лесс	алюмосиликат
фырканье	суетня
изворотливость	ухищрение
электропроводка	арматура
аул	селение
закрутка	ленчик
орел	птица
наследство	движимость
распад	превращение
парочка	группка
метеорит	минерал
страшилище	бессмыслие
мотороллер	автомобиль
роскошь	украшение
круиз	путешествие
браконьер	дичь
возбуждение	биоток
лютня	гусли
хохма	присловье
воспроизведение	восприятие
грай	щебет
заболеваемость	
крошка	кусочек
вождение	передвижение
застреха	подклеть
неустрашимость	обдуманность
нашатырь	изобутилен
акцепт	перерасчет
ориентация	
феня	матерок
селянка	самогонка
арена	сцена
скоба	колодка
неприкосновенность	соблюдение
молитвенник	молитва
рать	хоругвь
синева	сверкание
частность	особенность
яндекс	
машинистка	машинка
крепь	настилка
зачисление	
полив	компост
кошечка	зверек
словарь	учебник
электромотор	аккумулятор
подвижка	перемещение
вага	замета
казначей	контролер
капор	епанча
могила	захоронение
свинья	живность
клык	кость
возбудитель	микроорганизм
истица	истребование
сомнение	разноречие
кувшинка	папоротник
необъятность	громадность
фраза	выражение
безрассудство	поступок
выя	очес
умерщвление	вкушение
ндс	перерасчет
табакерка	ящичек
светочувствительность	чувствительность
кондиционирование	обогрев
культура	искусство
микроэлектроника	технология
минералка	бутыль
абонент	
пила	станок
офицер	генштабист
невестка	супруг
цапля	птица
стойбище	жилище
мустанг	лошадь
сухожилие	кость
пластика	законченность
фланец	отверстие
реквием	месса
бульдог	собака
протокол	
энтодерма	флоэма
особь	парамеция
естественность	слитность
трафик	
медяк	бумажка
минея	величание
фонема	артикуляция
лета	возмужалость
изнеможение	изнурение
раскулачивание	конфискация
определитель	инвариант
колок	рощица
ружье	оружие
устаток	винище
стек	интерфейс
соучастие	совершение
прострел	опрыскивание
лейка	пульверизатор
берданка	ружье
пятерня	рука
плав	плавучесть
папье-маше	муляж
полунамек	бессвязность
барабан	труба
озарение	познавание
боец	воин
соседство	отдаленность
папенька	барыня
хвост	туловище
сатанист	преступник
заговорщик	злоумышление
комендатура	авиачасть
централ	камера
продувка	паропровод
сутана	одеяние
брошюра	учебник
бутафор	униформист
передовица	заметка
кавалер	дама
предсказание	сопоставление
пробуксовка	
завтрак	еда
очарование	любование
пасечник	умелец
столп	устой
метальщик	ретирада
тэк	нефтянка
ученик	
охра	краска
туристка	девушка
энергетика	отрасль
приобщение	восприятие
кривотолки	разномыслие
козлище	помышление
рубероид	настилка
квалификация	
двоевластие	разномыслие
шофер	грузовик
неправда	неразумность
вольера	закут
страдание	переживание
филипс	
прелюдия	кульминация
вращение	перемещение
скотник	животина
притязание	посягательство
турне	поездка
лопата	щуп
благодать	разумение
прогиб	деформация
вариабельность	
материк	
школьник	ребенок
подсыпка	плитняк
передвижник	художник
медиум	
девчурка	брюнеточка
буддизм	религия
сброд	скопище
ничья	поражение
оргазм	эмоция
барьер	преграда
удочка	приманка
упорство	сосредоточенность
подстанция	электроустановка
цыганочка	полечка
личико	лицо
сиська	соска
униат	конфессия
отсебятина	обнаженность
скрепа	равнодействующая
смутьян	подстрекатель
здоровий	
караван-сарай	мечеть
сорванец	ротозей
проезжий	пешеход
хищение	расходование
прохождение	перемещение
рецептор	нейрон
самоходка	бронетехника
лгун	невротик
вернисаж	выставка
долготерпение	бережность
салон	интерьер
постройка	строение
буржуа	гешефт
неясность	несоответствие
равнение	экзерциция
блондинка	девушка
генералиссимус	
богатство	полнота
галантность	нарядность
нейтраль	электроустановка
расшатывание	утончение
мордобой	безобразие
барыня	благодетельница
мичман	офицер
соцреализм	эстетика
кочевье	пастбище
горение	протекание
улыбка	шутливость
заявка	запрос
дуэт	
коготь	конечность
цифра	начертание
предместник	благоусмотрение
криминалист	преступник
послабление	соблюдение
эгоистка	страстишка
братишка	младенчик
фарс	сценка
жрица	божество
шепот	шорох
мелководье	нерестилище
сап	
мильон	тысяча
вьюн	блесна
цыганка	девушка
десятилетка	училище
предплечье	кость
творец	существо
юфть	выделка
грубиян	стяжатель
кадриль	танец
такси	машина
гидролог	судоводитель
сандалия	одеяние
слежка	
лямка	ленчик
акушерство	патология
кирха	здание
укрытие	жилище
неполадка	недостаток
приятие	жизнепонимание
фавор	могущество
клирик	духовенство
